,Relation,Concept
0,impact_factor_component_relation,component_qty_value
1,matrix_properties_thickness,thickness
2,matrix_properties_ph,ph
3,matrix_properties_aw,aw
4,matrix_properties_water_content,water_content
5,rrmax_relation,rrmax
6,ea_relation,ea
7,impact_strength_relation,impact_strength
8,o2_permeability_relation,o2_permeability
9,crystallization_point_temperature_relation,crystallization_point_temperature
10,rq_relation,rq
11,co2_permeability_relation,co2_permeability
12,rrref_relation,rrref
13,energy_at_break_relation,energy_at_break
14,enthalpy_of_fusion_relation,enthalpy_of_fusion
15,stress_at_break_relation,stress_at_break
16,h2o_permeability_relation,h2o_permeability
17,product_number_relation,product_number
18,elongation_at_break_relation,elongation_at_break
19,young_modulus_relation,young_modulus
20,degradation_temperature_relation,degradation_temperature
21,ki_relation,ki
22,q10_relation,q10
23,volatil_solubility_relation,volatil_solubility
24,dielectric_permitivity_relation,dielectric_permitivity
25,glass_transition_temperature_relation,glass_transition_temperature
26,km_relation,km
27,melting_point_temperature_relation,melting_point_temperature
28,diffusivity_relation,diffusivity
29,crystallinity_relation,crystallinity
